"State","Density","Pop","TotalArea"
"New Jersey","1206.7609","8874520","8723"
"Rhode Island","1026.6044","1061509","1545"
"Massachusetts","886.1845","6912239","10554"
"Connecticut","733.7507","3552821","5543"
"Maryland","624.8518","6065436","12406"
"Delaware","508.1242","990334","2489"
"New York","409.5400","19299981","54555"
"Florida","409.2229","21944577","65758"
"Ohio","286.6944","11714618","44826"
"Pennsylvania","286.1704","12804123","46054"
"California","254.2929","39613493","163696"
"Illinois","226.3967","12569321","57914"
"North Carolina","220.1041","10701022","53819"
"Hawaii","218.9678","1406430","10932"
"Virginia","217.8776","8603985","42775"
"Indiana","189.9644","6805663","36420"
"Georgia","188.3054","10830007","59425"
"Michigan","176.7351","9992427","96714"
"South Carolina","175.5707","5277830","32020"
"Tennessee","168.4069","6944260","42144"
"New Hampshire","153.2674","1372203","9349"
"Washington","117.3249","7796941","71298"
"Texas","113.8081","29730311","268596"
"Kentucky","113.4760","4480713","40408"
"Wisconsin","108.0633","5852490","65496"
"Louisiana","107.0966","4627002","52378"
"Alabama","97.4271","4934193","52420"
"Missouri","89.7419","6169038","69707"
"West Virginia","73.5443","1767859","24230"
"Minnesota","71.6641","5706398","86936"
"Vermont","67.6197","623251","9616"
"Arizona","66.2016","7520103","113990"
"Mississippi","63.2186","2966407","48432"
"Arkansas","58.3059","3033946","53179"
"Oklahoma","58.1740","3990443","69899"
"Colorado","56.8653","5893634","104094"
"Iowa","56.7158","3167974","56273"
"Oregon","44.6872","4289439","98379"
"Maine","43.9167","1354522","35380"
"Utah","40.2918","3310774","84897"
"Kansas","35.6808","2917224","82278"
"Nevada","29.0195","3185786","110572"
"Nebraska","25.4087","1951996","77348"
"Idaho","22.5079","1860123","83569"
"New Mexico","17.3540","2105005","121590"
"South Dakota","11.8265","896581","77116"
"North Dakota","11.1596","770026","70698"
"Montana","7.4547","1085004","147040"
"Wyoming","5.9847","581075","97813"
"Alaska","1.2694","724357","665384"

